InChIkey,Solvent,MW,SASA,G_sol,DeltaG_sol,Volume,sol_dip,LsoluHsolv,LsolvHsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,LogS
GVEPBJHOBDJJJI-UHFFFAOYNA-N,chloroform,202.255,227.244,-23009.264,-445.3442040816226,243.071,0.325051,9.985,8.058,0.0,-1.6107,-0.15618,0.1641,0.0,0.188928484
GVIJJXMXTUZIOD-UHFFFAOYNA-N,"1,4-dioxane",216.315,223.495,-23380.074,-381.4363157894732,239.592,1.7121,9.121,10.254,0.0,-1.27891,-0.13958,0.16914,-0.03833,-0.568636236
WBYWAXJHAXSJNI-KZFATGLANA-N,acetone,148.161,181.325,-22781.903999999995,-522.3683749999982,182.608,2.46901,9.49,10.372,-1.10051,-0.44112,-0.60299,0.68712,-1.10051,0.142504043
RYYVLZVUVIJVGH-UHFFFAOYNA-N,acetone,194.193,206.937,-25366.032,-1423.869666666662,182.608,2.46901,9.528,10.043,-1.2109,0.3262099999999999,-0.60868,0.69004,-2.22267,-1.217589965
GPSDUZXPYCFOSQ-BGGKNDAXNA-N,2-methyl-1-butanol,136.15,170.266,-21996.234,-802.6490857142817,182.608,2.46901,9.327,12.699,-1.0889,-0.48849,-0.60654,0.65746,-1.0889,0.124916121
WLJVXDMOQOGPHL-BGGKNDAXNA-N,cyclohexane,136.15,171.504,-22189.098,-1150.044222222219,168.94799999999998,2.09044,10.665,13.861,-1.04464,-0.47803,-0.54535,0.65025,-1.04464,-0.634946197
BLUAFEHZUWYNDE-NNWCWBAJNA-N,ethanol,282.336,272.207,-30238.86800000001,-1347.554363636369,168.94799999999998,2.09044,9.248,13.081,-2.03828,-1.6427899999999998,-0.56753,0.6852,-2.03828,-1.10017137
GPSDUZXPYCFOSQ-BGGKNDAXNA-N,2-butoxyethanol,136.15,169.888,-21884.034,-690.4490857142846,164.91400000000002,3.35144,9.196,11.637,-1.08502,-0.48961,-0.60211,0.65557,-1.08502,0.226495532
YNPNZTXNASCQKK-UHFFFAOYNA-N,4-methyl-2-pentanol,178.233,209.472,-22908.804,-527.2241666666632,164.91400000000002,3.35144,9.488,11.665,0.0,-1.62612,-0.17457,0.16674,0.0,-0.85790757
BBEAQIROQSPTKN-UHFFFAOYNA-N,butyronitrile,202.255,222.477,-22119.774,-11.665014925369178,242.492,0.00167399,10.621,9.614,0.0,-1.66677,-0.17863,0.16823,0.0,-0.314513086
QELSKZZBTMNZEB-UHFFFAOYNA-N,peg400,180.203,216.993,-25806.962,-928.6745454545415,222.301,1.60108,9.063,10.883,-1.51208,-0.6382399999999999,-0.61562,0.68691,-1.51208,0.118
